Time,Line,Dir,Occupation,TypeS,TypeV,Remarks,
08:13,313,E,-,N,S,-,
08:14,351,W,-,N,S,-,
08:15,341,E,0.2,N,S,-,
08:15,312,E,0.1,N,S,-,
08:15,333,E,0.2,N,S,-,
08:16,326,E,-,D,S,-,
08:16,90,E,0.2,N,S,-,
08:17,333,W,0.4,N,S,-,
08:17,334,W,0.4,N,S,-,
08:17,145,W,0.6,N,S,-,
08:17,63,W,0.6,N,S,-,
08:18,312A,W,0.7,N,S,-,
08:18,326,W,0.3,N,S,-,
08:18,312,W,0.5,N,S,-,
08:19,341,E,0.2,N,S,-,
08:19,332,W,0.5,N,S,-,
08:19,145,E,0.5,N,S,-,
08:21,63,E,0.4,N,S,-,
08:21,334,E,0.6,N,S,-,
08:24,E,W,0.2,N,S,-,
08:25,336,E,0.1,N,S,-,
08:25,337,E,-,D,S,-,
08:25,312,E,0.6,N,S,-,
08:25,331,E,0.8,N,S,-,
08:26,63,E,-,D,S,-,
08:26,145,W,0.7,N,S,-,
08:26,313,W,0.5,N,S,-,
08:27,332,E,0.6,N,S,-,
08:27,337,W,0.4,N,S,-,
08:28,331,W,0.8,N,S,-,
08:29,352,W,0.4,N,S,-,
08:29,90,E,0.9,N,S,-,
08:29,351,W,-,D,S,-,
08:30,63,W,0.7,N,S,-,
08:30,333,E,0.4,N,S,-,
08:30,337,W,0.4,N,S,-,
08:31,312,E,-,D,S,-,
08:32,63,W,0.4,N,S,-,
08:32,334,E,0.3,N,S,-,
08:34,341,W,0.4,N,S,-,
08:34,341,E,0.3,N,S,-,
08:34,313,W,0.4,N,S,-,
08:34,145,E,0.2,N,S,-,
08:35,63,E,0.3,N,S,-,
08:35,336,E,-,D,S,-,
08:35,334,E,0.3,N,S,-,
08:35,63,W,-,D,S,-,
08:35,312A,E,0.2,N,S,-,
08:36,312,W,0.4,N,C,-,
08:36,333,W,0.6,N,S,-,
08:37,331,E,0.7,N,S,-,
08:38,145,W,1,N,S,-,
08:38,90,E,0.8,N,S,-,
08:39,90,W,0.2,N,S,-,
08:39,337,E,-,D,S,-,
08:39,332,E,0.3,N,S,-,
08:40,352,W,0.4,N,S,-,
08:41,63,W,0.7,N,S,-,
08:41,-,E,-,G,S,Possible351/352/353,
08:42,337,E,-,G,S,-,
08:43,351,E,0.2,N,S,-,
08:44,312,E,0.1,N,S,-,
08:44,63,W,0.7,N,S,-,
08:44,336,W,0.2,N,S,-,
08:44,331,E,0.4,N,S,-,
08:44,63,E,-,G,S,-,
08:44,63,W,0.2,N,S,-,
08:44,313,E,0.2,N,S,-,
08:45,334,W,0.2,N,S,-,
08:45,312,E,-,G,C,-,
08:47,90,W,0.2,N,S,-,
08:47,341,E,0.1,N,S,-,
08:48,334,E,0.2,N,S,-,
08:48,326,W,0.5,N,S,-,
08:49,337,E,0.4,N,S,-,
08:49,312,W,0.3,N,S,-,
08:49,331,W,0.6,N,S,-,
08:50,145,E,0.8,N,S,-,
08:50,63,E,0.2,N,S,-,
08:50,142,E,-,D,S,-,
08:50,313,W,0.2,N,S,-,
08:51,-,E,-,G,S,Possible351/352/353,
08:53,341,W,0.2,N,S,-,
08:53,331,E,0.1,N,S,-,
08:53,63,W,0.7,N,S,-,
08:53,353,W,0.3,N,S,-,
08:54,333,W,0.5,N,S,-,
08:54,332,E,0.3,N,S,-,
08:55,312,E,0.2,N,S,-,
08:55,332,W,0.3,N,S,-,
08:56,90,W,0.3,N,S,-,
08:56,332,W,0.2,N,S,-,
08:57,312,W,0.4,N,S,-,
08:57,336,E,-,G,S,-,
08:57,336,W,0.5,N,S,-,
08:58,326,W,0.6,N,S,-,
08:58,333,E,0.5,N,S,-,
09:00,341,W,0.7,N,S,-,
09:00,145,E,0.6,N,S,-,
09:00,334,E,0.5,N,S,-,
09:00,331,W,0.6,N,S,-,
09:01,341,E,0.1,N,S,-,
09:01,332,W,0.5,N,S,-,
